First Name,Last Name,Gender,Team,Car,Nationality,DOB,Reliability,Performance,Concentration,Chemistry,Pit Stops,Part Fixes,Wages,Mechanic Bonuses,Relationship With Driver,Weeks Together,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Richard,McClusky,M,10,1,UnitedStates,05/10/1987,17.68,8.01,11.1,11.14,10.96,11.11,0.48,3;17,25,13,2014,2017,4,1,5,6,0,1,0,23,54,62,4,18,0,0,0,6,3,0,4,0,2.916666667
Scott,Hopkins,M,10,2,UK,21/08/1972,16.92,7.74,8.21,15.11,19.74,7.28,0.56,4;19,100,139,2015,2017,1,1,8,8,0,0,5,0,50,56,3,2,0,0,0,0,0,0,10,0,3.125
Mary,Paddock,F,11,1,UnitedStates,16/03/1971,18.73,18.03,18.28,14.72,8.97,14.27,0.94,1;17,1,2,2014,2017,5,5,4,9,0,1,5,0,50,55,3,2,0,0,0,0,0,2,0,0,3.875
Stuart,Yarnham,M,11,2,UK,18/07/1984,19.8,19.01,14.81,12.04,6.4,11.94,0.75,7;18,100,60,2015,2017,2,0,7,6,0,0,6,15,19,62,2,2,0,0,0,0,0,2,0,0,3.5
Sarah,Simmons,F,12,1,Ireland,19/06/1986,5.18,12.15,7.75,11.98,7.95,1.99,0.24,10;19,29,16,2015,2018,1,2,3,3,2,0,1,11,77,60,3,0,0,0,0,0,0,0,0,0,1.958333333
Hermann,Schuyler,M,12,2,Germany,19/01/1982,6.03,16.2,9.74,9.04,14.17,6.82,0.4,3;14,100,102,2014,2019,2,0,7,8,0,0,1,17,48,65,2,19,0,0,0,5,3,0,4,0,2.583333333
Konner,Jergin,M,13,1,Germany,27/02/1980,13.06,17.76,8.89,8.93,6.37,17.99,0.52,8;18,46,24,2015,2017,3,4,11,5,0,0,3,4,19,65,2,0,0,0,0,0,0,0,0,0,3.041666667
David,Contri,M,13,2,Italy,01/02/1967,12.76,5.25,13.8,5.73,13.25,8.21,0.36,13;14,55,29,2014,2018,5,1,11,9,0,0,1,0,50,55,2,1,0,0,0,0,0,0,6,0,2.458333333
Rosina,Homer,F,14,1,Italy,28/02/1977,5.18,17.08,6.08,11.83,16.76,9.07,0.44,4;17,65,34,2015,2020,2,0,1,4,1,0,11,0,50,65,3,2,0,0,0,2,1,0,0,0,2.75
Brian,Williams,M,14,2,UK,21/02/1985,10.2,15.1,18.9,4.98,5.9,0.92,0.33,9;15,100,89,2015,2020,1,3,4,7,0,0,1,20,20,64,4,0,0,0,0,0,0,0,0,0,2.333333333
Nicole,Dubois,F,15,1,France,14/10/1980,10.15,9.78,10.13,11.2,17.67,7.07,0.44,8;21,5,3,2015,2019,1,5,5,11,0,0,0,26,92,63,1,0,0,0,0,0,0,0,0,0,2.75
Haiden,Lounart,M,15,2,France,27/06/1976,13.17,8.92,11.08,5.8,7.22,14.81,0.39,10;14,67,35,2015,2018,5,4,2,6,0,0,0,21,59,62,2,4,0,0,0,1,1,0,0,0,2.541666667
Boris,Volkov,M,16,1,RussianFederation,08/08/1982,9.02,15.78,5.03,4.29,15.82,1.06,0.28,12;14,100,70,2015,2017,5,2,5,7,0,0,2,7,33,61,4,1,0,0,0,0,0,0,0,0,2.125
Sally,Cooper,F,16,2,UK,21/09/1982,15.82,12.25,11.89,10.13,4.72,2.19,0.34,1;14,77,41,2015,2018,4,0,9,9,3,0,0,20,93,55,2,0,0,0,0,0,0,0,0,0,2.375
Harriet,Chaucer,F,17,1,UK,18/01/1987,6.75,19.8,15.18,18.2,6.25,14.82,0.69,4;15,100,175,2015,2017,3,4,8,7,0,0,0,20,22,62,3,150,34,72,40,19,9,0,1529,2,3.375
Malaki,Hourdouil,M,17,2,UnitedStates,22/06/1985,14,18.68,17.95,9.87,9.26,8.24,0.63,3;15,32,17,2015,2017,1,0,0,0,1,0,0,15,15,65,3,168,8,28,15,27,15,0,921,0,3.25
Maxine,Solde,F,18,1,Sweden,14/08/1986,18.11,8.01,8.97,12.81,17.88,10.22,0.58,10;15,100,84,2015,2019,3,1,10,6,0,0,4,25,50,63,3,71,3,8,0,8,6,0,277,0,3.166666667
Juan,López,M,18,2,Mexico,17/04/1989,11.99,16.24,10.98,4.95,12.72,15.12,0.5,2;19,8,2,2014,2017,5,0,10,1,0,0,0,37,58,55,2,21,0,0,0,5,2,0,10,0,3
Adan,Calye,M,19,1,Sweden,11/01/1967,12.93,3.9,4.89,11.24,17.94,9.1,0.38,7;16,100,139,2015,2017,4,1,11,5,0,0,4,0,50,55,2,40,0,6,0,3,1,0,200,0,2.5
Alex,O'neil,M,19,2,UK,14/07/1960,10.08,10.73,18.18,12.13,10.77,5.11,0.45,8;18,4,3,2015,2018,4,0,6,8,0,0,8,0,50,57,2,214,11,39,16,31,16,0,970,0,2.791666667
Gianni,Benvenuti,M,20,1,Italy,07/12/1981,8,11.23,8.84,12.2,7.85,7.88,0.33,13;16,34,18,2014,2017,5,2,6,11,0,0,1,44,205,52,2,141,40,68,45,21,10,0,1658,4,2.333333333
Hugo,Harrison,M,20,2,UK,12/04/1970,5.29,6.82,9.1,13.93,10.15,8.71,0.31,3;18,100,71,2015,2020,2,1,3,4,0,0,11,0,50,56,1,215,20,77,16,45,14,0,1036,1,2.25
Harrison,Dupuy,M,21,1,Finland,20/12/1980,19.8,14.92,14.15,18.15,10.16,10.82,0.83,1;16,100,59,2014,2017,5,1,5,10,0,0,0,0,50,54,1,237,32,97,22,35,24,0,1767,2,3.666666667
Max,Foeck,M,21,2,Germany,21/02/1967,11.83,12.83,5.07,14.71,5.27,10.29,0.38,4;14,14,12,2015,2017,4,1,6,8,0,0,8,0,50,53,2,270,15,50,8,50,11,0,1198,1,2.5
Eve,Harding,F,22,1,UK,01/10/1984,7.02,17.24,19.76,7.05,18.04,1.89,0.49,3;16,67,35,2014,2018,4,3,2,8,1,0,0,40,70,52,1,79,0,0,1,9,4,0,238,0,2.958333333
Mason,Fairly,M,22,2,UnitedStates,24/02/1983,17.01,6.35,6.77,12.18,9.86,4.83,0.34,3;16,100,52,2014,2019,5,0,1,3,0,0,0,3,14,56,3,79,0,4,0,12,3,0,189,0,2.375
Uday,Dhingra,M,23,1,India,16/05/1964,12.83,8.03,2.76,15.87,15.34,12.17,0.45,11;21,100,78,2014,2016,4,4,2,7,0,1,0,0,50,60,4,2,0,0,0,1,1,0,6,0,2.791666667
Nadim,Kapoor,M,23,2,India,31/07/1969,12.98,10.01,17.65,3.03,8.27,5.06,0.34,3;18,61,62,2015,2018,1,2,6,11,0,0,0,0,50,62,2,2,0,0,0,0,0,0,6,0,2.375
Alex,Jarvis,M,24,1,UK,07/02/1972,0.79,2.97,1.98,12.04,9.01,12.21,0.19,12;17,51,27,2015,2020,2,1,10,9,0,0,7,0,50,49,2,66,0,9,0,20,12,0,236,0,1.625
Mauricio,Kurtz,M,24,2,Spain,08/04/1988,15.86,10.8,6.77,10,6.17,2.4,0.29,12;18,100,123,2015,2017,5,1,10,9,0,0,7,31,31,51,1,79,1,1,1,20,16,0,49,0,2.166666667
Carlos,Guerra,M,25,1,Mexico,17/11/1993,8.89,13.81,5.99,12.96,14.18,6.17,0.4,2;19,64,37,2014,2019,2,5,0,8,1,0,5,13,10,53,3,18,0,0,0,6,3,0,4,0,2.583333333
Polly,Barker,F,25,2,UK,01/12/1975,10.24,16.95,11.71,8.89,15.23,7.98,0.49,10;21,100,56,2015,2018,3,0,10,3,0,0,1,0,50,62,3,2,0,0,0,0,0,0,10,0,2.958333333
Tushar,Patel,M,26,1,India,08/12/1971,14.78,2.96,4.12,10.27,12.34,16.45,0.38,9;15,100,86,2015,2017,2,4,3,11,0,0,0,0,98,63,2,2,0,0,0,0,0,2,0,0,2.538333333
Jordyn,Bourdeau,M,26,2,France,18/05/1986,8.83,11.03,1.78,11.79,17.56,7.92,0.36,4;14,54,29,2016,2018,4,2,3,4,3,0,0,30,70,55,2,2,0,0,0,0,0,2,0,0,2.454583333
Emilia,Valente,F,27,1,Brazil,31/10/1986,18.96,16.99,4.11,3.7,10.19,3.05,0.34,11;14,6,4,2015,2017,1,4,5,7,0,0,4,12,12,53,1,0,0,0,0,0,0,0,0,0,2.375
Alex,Barbosa,M,27,2,Portugal,23/11/1979,3.97,15.18,7.23,13.96,11.89,12.77,0.43,2;18,100,62,2015,2017,5,1,2,3,0,0,4,45,314,65,3,19,0,0,0,5,3,0,4,0,2.708333333
Hugh,Gosselin,M,28,1,Finland,02/09/1975,16.68,11.91,17.27,7.17,10.89,8.08,0.5,8;16,59,31,2015,2019,4,4,7,1,0,0,0,0,50,65,4,0,0,0,0,0,0,0,0,0,3
Hung,Zhōng,F,28,2,China,27/03/1973,8.19,11.74,11.03,9.14,5.17,17.73,0.41,2;20,100,95,2015,2017,5,2,7,2,0,0,4,0,50,63,4,1,0,0,0,0,0,0,6,0,2.625
Tom,Woodbridge,M,29,1,UK,18/06/1989,2.91,4.85,4.89,12.45,10.14,3.01,0.19,1;18,78,57,2015,2019,3,1,8,7,1,0,0,33,10,61,3,2,0,0,0,2,1,0,0,0,1.59375
Oscar,Deveritt,M,29,2,Denmark,16/11/1990,3.87,8.26,7.89,5.12,3.94,2.78,0.15,2;21,65,48,2015,2018,3,5,1,7,0,0,0,20,15,64,1,0,0,0,0,0,0,0,0,0,1.3275
Billy,Evans,M,30,1,UnitedStates,24/02/1983,7.27,10.68,7.97,14,11.2,2.88,0.31,9;15,24,12,2015,2017,3,1,10,5,2,0,10,0,70,63,3,0,0,0,0,0,0,0,0,0,2.25
Rachel,McAndrew,F,30,2,UK,16/05/1973,3.76,6.89,1.05,6.29,12.29,11.72,0.21,10;17,34,18,2015,2017,4,0,1,9,0,0,5,48,50,64,2,4,0,0,0,1,1,0,0,0,1.75
Jonny,Jenkinson,M,31,1,UK,31/07/1990,6.83,4.9,8.06,12.16,2.09,3.96,0.19,4;17,2,1,2015,2018,3,3,7,6,0,0,0,38,20,62,1,1,0,0,0,0,0,0,0,0,1.583333333
Stephanie,Thomas,F,31,2,UK,07/02/1972,4.86,4.02,3.18,4.08,7.08,5.78,0.13,8;21,100,64,2015,2017,3,0,6,8,0,0,0,25,50,62,3,0,0,0,0,0,0,0,0,0,1.208333333
Kenny,Harding,M,32,1,UK,01/10/1984,8.98,18.9,19.86,9.18,17.74,5.34,0.67,9;20,100,45,2015,2017,4,4,3,8,0,0,8,20,28,52,4,150,34,72,40,19,9,0,1529,2,3.333333333
Roger,Dunbar,M,32,2,Ireland,24/02/1983,17.74,8.22,12.01,12.07,11.92,16.04,0.63,1;21,77,38,2016,2018,5,0,3,9,0,0,11,42,196,52,2,168,8,28,15,27,15,0,921,0,3.25
Freya,Coley,F,33,1,UK,16/05/1973,17.16,6.4,7.21,19.7,14.7,12.83,0.63,11;21,23,64,2016,2018,5,4,7,6,0,0,4,0,50,54,3,71,3,8,0,8,6,0,277,0,3.25
Karl,Tye,M,33,2,UK,31/07/1981,5.95,15.28,15.83,6.84,10.1,2,0.33,10;21,63,22,2016,2017,3,1,11,10,3,0,3,14,49,65,3,21,0,0,0,5,2,0,10,0,2.333333333
Thomas,Dole,M,34,1,UK,07/02/1972,5.72,8.02,7.4,19.02,11.98,11.86,0.42,8;19,23,12,2016,2018,4,0,11,4,0,0,1,12,168,56,2,40,0,6,0,3,1,0,200,0,2.666666667
Fritz,König,M,34,2,Germany,08/04/1988,19.85,19.02,9.77,17.26,5.81,4.29,0.58,4;20,76,10,2015,2017,5,1,2,8,0,0,0,27,42,54,2,214,11,39,16,31,16,0,970,0,3.166666667
Bette,Baumann,F,35,1,Germany,17/11/1973,11,15.96,8.16,14.9,15.74,8.24,0.54,2;17,44,64,2016,2018,1,3,7,9,1,0,4,0,50,60,2,141,40,68,45,21,10,0,1658,4,3.083333333
Yasmin,Jenkins,F,35,2,UK,01/12/1975,11.84,18.59,14.2,11.19,16.94,10.24,0.73,3;20,32,64,2015,2017,5,1,8,4,0,0,0,0,50,55,4,215,20,77,16,45,14,0,1036,1,3.458333333
Trevor,Atkinson,M,36,1,UK,08/12/1971,14.05,9.06,11.8,13.81,8.3,14.98,0.5,13;16,12,64,2016,2018,1,1,5,9,0,0,5,0,50,55,2,237,32,97,22,35,24,0,1767,2,3
Francis,West,M,36,2,UnitedStates,18/05/1975,15.83,15.21,13.14,6.02,12.92,10.88,0.54,10;20,0,2,2015,2017,4,0,7,11,0,0,2,0,50,55,4,270,15,50,8,50,11,0,1198,1,3.083333333
Carrie,Hogan,F,37,1,UnitedStates,31/10/1986,10.06,8.06,8.14,17.69,10.84,1.21,0.33,3;18,24,42,2016,2018,5,3,7,6,0,0,0,8,9,55,1,79,0,0,1,9,4,0,238,0,2.333333333
Gabriela,Rojas,F,37,2,Chile,23/11/1979,6.15,12.81,6.25,15.78,13.97,13.04,0.46,3;15,15,64,2015,2017,5,0,6,1,0,0,11,46,129,54,3,79,0,4,0,12,3,0,189,0,2.833333333
Kai,Gosselin,M,38,1,Finland,02/09/1985,18.99,10.25,17.71,6.11,12.03,8.91,0.54,8;16,0,1,2016,2018,3,2,7,1,0,0,0,44,62,54,4,2,0,0,0,1,1,0,6,0,3.083333333
Ali,Basara,M,38,2,Egypt,27/03/1973,8.83,13.1,11.85,10.22,6.02,19.98,0.48,10;16,26,12,2016,2018,2,0,4,5,0,0,5,0,50,54,4,2,0,0,0,0,0,0,6,0,2.916666667
Kelly,Shaw,F,39,1,UK,18/06/1975,4.95,7.3,16.05,4.89,18.58,13.23,0.43,9;18,33,22,2016,2018,4,4,3,9,1,0,4,15,70,54,2,66,0,9,0,20,12,0,236,0,2.708333333
Janet,Murphy,F,39,2,UnitedStates,16/11/1964,19.8,11.81,17.27,6.93,11.78,10.41,0.63,12;18,65,34,2015,2017,4,1,0,1,0,0,0,0,50,57,4,79,1,1,1,20,16,0,49,0,3.25
Billy,Parker,M,40,1,UnitedStates,24/02/1983,7.02,11.93,8.05,15,4.99,5.01,0.29,4;19,57,11,2015,2017,4,2,5,3,1,0,0,0,0,56,3,18,0,0,0,6,3,0,4,0,2.166666667
Rachel,Edwards,F,40,2,UK,16/05/1973,6.03,8.24,11.06,8.95,3.79,8.93,0.24,9;17,88,67,2016,2018,2,1,1,6,0,0,11,0,50,56,3,2,0,0,0,0,0,0,10,0,1.958333333
Susan,Mathews,F,41,1,Ireland,31/07/1981,15.85,16.22,10.83,17.91,4.04,10.15,0.56,4;21,76,42,2016,2018,3,1,7,2,0,0,0,12,131,65,4,2,0,0,0,0,0,2,0,0,3.125
Gary,Quinn,M,41,2,UK,07/02/1972,5.16,4.82,9.8,15.24,18.22,6.76,0.38,4;21,54,55,2015,2017,3,5,2,6,0,0,0,0,50,56,4,2,0,0,0,0,0,2,0,0,2.5
Alyx,Grey,F,42,2,UnitedStates,13/01/1986,11.9,17.91,11.11,16.14,8.01,5.93,0.49,10;15,32,43,2015,2017,2,4,5,7,0,0,0,50,47,56,3,1,0,0,0,0,0,0,1,0,2.958333333
Toby,Hart,M,42,1,UK,23/02/1989,17.7,12.23,5.03,3.09,19.06,18.89,0.58,9;15,45,21,2016,2018,2,1,4,3,0,0,3,32,56,56,1,5,2,2,1,0,0,0,2,0,3.166666667
Bobby,Graves,M,43,2,UnitedStates,12/12/1972,10.55,15.35,9.88,8.35,15.8,14.07,0.54,8;20,32,34,2015,2017,4,1,7,9,0,0,0,24,56,55,4,141,21,68,22,8,2,1,1500,4,3.083333333
Pete,Coleby,M,43,1,UnitedStates,14/09/1980,10.18,12.17,15.09,11.81,5.82,4.93,0.38,4;15,12,25,2016,2018,3,2,7,2,1,1,4,32,38,54,4,15,3,4,2,0,0,1,124,1,2.5
Robert,Morris,M,44,2,UK,20/12/1985,15.9,2.11,1.24,7.19,5.06,16.5,0.25,8;19,53,11,2015,2017,4,3,2,4,0,0,0,20,140,54,2,4,0,0,0,1,1,0,7,0,2
Isabel,Bishop,F,44,1,Ireland,07/11/1990,6.18,12,8.71,4.11,14.73,13.27,0.36,10;21,65,10,2015,2017,5,1,10,4,0,0,0,29,37,53,2,12,5,8,4,2,1,0,10,1,2.458333333
Ellen,McBride,F,45,2,UK,06/04/1992,6.19,6.77,9.18,6.01,10.02,3.83,0.21,1;21,45,54,2016,2018,2,3,6,5,0,1,0,40,35,56,2,2,0,0,0,0,0,0,0,0,1.75
Wanda,Adams,F,45,1,UnitedStates,21/03/1978,15.06,11.98,10.87,8.02,10.17,8.9,0.43,2;18,34,33,2015,2017,5,1,8,7,0,0,0,12,21,65,1,127,37,52,45,3,12,1,1658,4,2.708333333
Albwin,Nessler,M,46,2,Germany,19/02/1990,8.04,15.26,3,14.24,5.7,5.76,0.29,9;21,76,62,2015,2017,1,1,5,8,0,0,2,32,446,56,3,3,0,1,0,0,0,0,8,0,2.166666667
Alessandro,Mavros,M,46,1,Greece,23/01/1984,3.02,4.13,15.7,6.92,2.07,12.16,0.23,10;21,20,44,2015,2017,1,2,2,6,1,0,0,27,377,65,1,13,4,5,2,5,1,0,10,0,1.833333333
Nicolas,Vogelstein,M,47,2,Germany,02/07/1993,2.19,10.28,8.81,2.1,4.88,6.74,0.17,4;16,24,65,2015,2017,4,4,13,6,0,0,4,40,51,55,2,1,0,1,0,0,0,0,10,0,1.458333333
Chen,Heng,F,47,1,China,22/01/1973,6.7,16.16,12.93,17.51,7.29,2.41,0.41,8;19,2,8,2016,2018,2,2,2,7,1,0,0,25,70,50,4,132,52,65,60,2,1,4,1200,3,2.625
Chepe,Lima,M,48,2,Cuba,01/06/1968,5.24,16.7,12.78,9.16,5.35,2.77,0.29,9;17,56,5,2016,2018,3,5,1,8,1,0,4,24,84,60,1,140,62,90,48,23,1,4,1629,3,2.166666667
Aidan,Graveson,M,48,1,UK,20/11/1990,9.3,7.76,12.09,6.7,2.89,14.26,0.3,8;19,6,12,2015,2017,3,1,9,7,0,0,0,32,149,50,3,3,2,3,0,0,0,0,10,0,2.208333333
Noel,Stephens,M,49,2,UK,07/05/1989,4.91,2.66,9.01,12.14,11.03,15.25,0.32,19;4,78,2,2016,2018,1,2,7,7,0,0,10,12,24,52,3,12,4,5,1,2,0,0,10,0,2.291666667
Jacob,Denton,M,49,1,UnitedStates,17/03/1990,10.69,9.12,15.36,2.64,5.38,3.52,0.24,1;15,11,15,2015,2017,5,1,5,8,3,0,0,20,6,51,2,16,2,2,0,2,1,1,15,0,1.94625
Danny,White,M,50,2,UK,20/01/1992,5.69,11.41,4.36,1.64,8.38,9.52,0.21,1;18,13,2,2015,2017,5,2,6,8,0,0,7,24,66,58,2,24,3,2,8,3,1,1,15,0,1.708333333
Peter,Stephens,M,50,1,UnitedStates,11/09/1992,5.69,10,12.36,14.64,3.38,10.52,0.34,9;17,43,53,2015,2017,2,2,10,6,1,0,7,11,65,58,2,16,3,2,8,3,1,1,15,0,2.357916667
Nicole,Farrugia,F,51,2,Malta,20/08/1992,5.69,8.41,9.36,2.64,1.38,15.52,0.22,8;21,4,2,2016,2018,3,1,6,8,0,0,7,42,43,66,2,32,3,2,8,3,1,1,15,0,1.791666667
Albert,Porter,M,51,1,UK,20/08/1992,5.69,15,1.36,10.64,4.38,1.52,0.19,4;20,22,6,2016,2017,1,2,9,8,0,0,11,0,112,55,2,12,3,2,8,3,1,1,15,0,1.607916667
Gary,Watson,M,52,1,UK,23/07/1985,17.69,18.41,4.36,11.64,15.38,4.52,0.5,12;21,5;10;15,10;20;30,2016,2018,5,2,6,1,0,0,1,15,85,53,4,,,,,,,,,,3
Astrid,Öberg,F,53,1,Sweden,09/05/1989,19.54,7.9,8.11,10.36,18.23,16.1,0.41,7;21,17;15;6,30;28;15,2016,2017,4,0,3,2,0,0,0,23,28,55,3,,,,,,,,,,2.657083333
Danny,Cox,M,54,1,UnitedStates,29/11/1986,6.3,3.1,11.8,14.66,6.8,11.32,0.31,12;15,30;52;15,65;90;26,2015,2019,3,4,2,5,1,0,0,8,320,53,4,,,,,,,,,,2.249166667
Amelia,Vroom,F,55,1,Netherlands,16/08/1983,10.69,9.41,3.36,2.64,1.38,4.32,0.15,4;15,0;1;2,0;5;11,2016,2017,4,0,2,8,1,0,0,18,34,53,3,,,,,,,,,,1.325
Matías,Campos,M,56,1,Spain,21/08/1994,4,1.7,15.53,7.64,18.38,16.52,0.41,8;19,6;0;10,12;0;21,2016,2018,2,5,0,8,0,0,9,36,180,53,2,,,,,,,,,,2.657083333
Corey,Watson,M,57,1,UK,12/03/1982,16.9,3.6,13.86,12.34,1.38,6.85,0.32,1;21,26;36;10,56;71;20,2016,2017,4,1,12,5,0,0,0,12,65,56,3,,,,,,,,,,2.28875
Esther,Bischoff,F,58,1,Germany,16/02/1989,11.65,7.5,11.63,12.63,10.22,7.52,0.39,11;14,20;0;10,32;0;17,2016,2017,2,1,11,4,0,0,0,8,15,52,1,,,,,,,,,,2.547916667
Zeng,Junling,M,59,1,China,28/10/1990,3.11,6.4,11.02,3.45,2.21,9.8,0.17,3;16,61;61;61,100;100;100,2016,2018,4,2,8,1,0,0,8,20,95,59,1,,,,,,,,,,1.499583333
Kolosova,Danilovna,F,60,1,RussianFederation,02/06/1965,15.22,12.93,4.72,8.67,11,8.63,0.39,2;15,45;26;32,83;40;61,2016,2017,1,0,7,10,0,0,0,0,2,58,2,,,,,,,,,,2.54875
Park,Kyou-Sun,F,61,1,SouthKorea,21/12/1995,8.83,9.35,1.2,8.35,0.58,4.22,0.15,7;17,16;3;6,19;5;10,2016,2017,5,2,4,8,0,0,0,40,123,59,1,,,,,,,,,,1.355416667
Francisco,Reyes,M,62,1,Spain,13/09/1984,2.82,10.22,7.03,5.21,4.88,15.35,0.23,13;20,25;16;48,35;18;96,2016,2017,2,3,6,2,0,0,2,4,15,54,3,,,,,,,,,,1.89625
Henry,Watts,M,63,1,UK,21/04/1990,3.52,2.3,10.3,1.88,2.38,5.61,0.11,9;18,12;10;9,15;12;10,2016,2018,3,1,0,0,0,0,7,6,36,51,2,,,,,,,,,,1.082916667
Sybille,Gruber,F,52,2,Germany,20/08/1988,17.8,15.7,15.53,7.64,18.11,15.32,0.88,4;16,8;103;103,18;100;100,2016,2017,3,1,9,6,0,0,1,1,12,54,4,,,,,,,,,,3.754166667
Ishii,Katzumi,M,53,2,Japan,01/09/1991,4,19.63,14.33,14.76,13.38,18.28,0.76,7;15,1;1;22,6;6;42,2016,2017,4,2,3,7,0,0,0,12,43,53,2,,,,,,,,,,3.515833333
Denzel,Hancock,M,54,2,UnitedStates,18/12/1986,7.33,6.29,3.86,16.82,13.63,10.12,0.35,2;19,58;64;59,100;100;100,2016,2019,3,5,2,9,1,0,10,22,152,59,1,,,,,,,,,,2.41875
Juliette,Vonderman,F,55,2,Netherlands,30/06/1976,2.42,8.66,13.67,9.74,8.25,15.3,0.35,8;21,25;25;25,45;45;45,2016,2019,2,0,1,8,1,0,0,32,96,57,3,,,,,,,,,,2.418333333
Marie,Boisselot,F,56,2,France,23/01/1970,19.46,1.3,4.55,18.72,19.23,2.53,0.44,8;17,12;23;20,19;40;32,2016,2017,2,2,4,9,0,0,0,0,1,56,1,,,,,,,,,,2.74125
Jamar,Long,M,57,2,SouthAfrica,05/10/1993,11.52,12.74,13.62,12.21,10.95,12.32,0.53,9;20,49;49;49,86;86;86,2016,2017,3,4,13,9,0,0,6,28,99,58,4,,,,,,,,,,3.056666667
Lucas,Bethune,M,58,2,France,12/07/1996,14.43,12.36,11.3,14.93,15.22,9.62,0.62,1;17,5;10;45,10;20;48,2016,2017,1,2,9,9,0,0,0,38,140,58,1,,,,,,,,,,3.244166667
