First Name,Last Name,Gender,Team,Nationality,DOB,Drivers,Engineers,Mechanics,Favoured Location,Wages,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration
Atsuko,Yamazaki,F,34,Japan,25/12/1981,19,20,5,Japan,0.2,2,7,9,0,0,3,55,4
Fleur,Dirksen,F,35,Netherlands,03/10/1982,19,6,14,Netherlands,0.2,3,3,8,1,0,4,55,4
Noah,Baumer,M,36,Germany,14/09/1970,14,14,12,France,0.2,1,6,2,0,0,5,55,4
Adan,Buckley,M,37,UnitedStates,16/11/1986,16,18,9,UK,0.2,4,1,6,0,0,0,55,4
Juri,Skala,M,38,Poland,12/10/1973,5,10,9,UK,0.2,1,2,7,0,0,0,55,4
Margot,Blanc,M,39,Canada,17/10/1963,8,19,8,Finland,0.2,0,1,2,0,0,0,55,4
Greta,Forst,F,40,Germany,14/08/1984,10,15,11,UnitedStates,0.2,0,1,7,0,0,0,55,4
Niccolo,Bianchi,M,41,Italy,19/12/1961,13,8,17,Brazil,0.2,1,7,4,0,0,0,55,4
Wilma,Björklund,F,42,Sweden,18/05/1995,14,9,13,Italy,0.2,2,1,2,0,0,0,55,4
Abraham,Kristiansen,M,43,Norway,05/04/1967,5,6,19,Chile,0.2,1,0,10,1,0,0,55,4
Finn,Garver,M,44,Belgium,31/05/1985,16,18,5,Ecuador,0.2,2,2,4,1,0,0,55,4
Rokuro,Moto,M,45,Japan,10/04/1965,8,6,20,Japan,0.2,3,4,6,0,0,4,55,4
Sophia,Masters,F,46,UK,23/06/1985,10,11,7,Egypt,0.2,2,4,7,0,0,2,55,4
Julien,Mercier,M,47,France,09/12/1986,14,15,10,India,0.2,1,7,6,0,0,2,55,4
Angelo,Bromfield,M,48,UnitedStates,26/03/1961,16,5,14,China,0.2,0,6,0,0,0,0,55,4
Buzzi,Balog,F,49,Hungary,03/02/1978,9,15,17,Finland,0.2,1,1,2,0,0,0,55,4
Dwayne,Adams,M,50,UnitedStates,04/01/1986,9,15,17,UK,0.2,2,2,1,0,0,0,55,4
Annabelle,Moore,F,51,UK,02/11/1988,9,15,17,UK,0.2,3,3,5,0,0,0,55,4
Tabatha,König,F,52,Germany,04/12/1998,9,15,17,Germany,0.2,1,3,1,0,0,0,55,4
Yoshio,Matsui,M,53,Japan,06/11/1998,12,15,20,Japan,0.2,0,2,8,1,0,0,55,4
Ella,Blom,F,54,Germany,12/08/1997,10,6,11,Germany,0.2,1,4,1,0,0,0,55,4
Rudy,Diot,M,55,France,04/05/1998,9,14,12,France,0.2,4,2,3,1,0,4,55,4
Thomas,Gobert,M,56,France,12/06/1996,1,3,14,France,0.2,2,1,3,0,0,1,55,4
Sophie,Carpenter,F,57,UK,12/06/1996,15,14,15,UK,0.2,3,7,2,0,0,0,55,4
Rico,Steffen,M,58,Switzerland,12/06/1996,14,12,2,Switzerland,0.2,1,2,7,0,0,0,55,4
Yu,Hongbo,M,59,China,12/06/1996,4,11,1,China,0.2,2,1,3,0,0,2,55,4
Pavel,Samedov,M,60,RussianFederation,12/06/1996,5,1,14,RussianFederation,0.2,1,4,2,0,0,1,55,4
Yang,Sung-min,M,61,SouthKorea,12/06/1996,8,16,7,SouthKorea,0.2,0,2,6,1,0,0,55,4
Antoine,Florent,M,62,France,12/06/1996,7,7,4,France,0.2,5,1,6,0,0,3,55,4
Les,Pllana,M,63,Australia,14/08/1963,20,14,20,Australia,0.2,3,4,4,0,0,6,55,4
Aled,Zebida,M,64,UK,22/08/1963,10,5,2,UK,0.2,1,4,3,1,0,2,55,4
Olaf,Nazifi,M,65,Belgium,02/06/1987,11,16,4,Belgium,0.2,4,5,9,0,0,6,55,4
Kadir,Rosales,M,66,Netherlands,22/12/1987,7,8,14,Netherlands,0.2,2,5,5,3,0,9,55,4
Gerson,Mustafaj,M,67,Colombia,21/11/1977,2,12,9,Colombia,0.2,3,6,1,3,0,7,55,4
Helson,Curti Gómez,M,68,Brazil,24/02/1962,4,17,17,Brazil,0.2,0,1,2,0,0,11,55,4
Dave,Coria,M,69,France,24/09/1971,16,15,6,France,0.2,1,0,6,0,0,2,55,4
Karst,Belfaroum,M,70,Netherlands,14/07/1986,17,7,19,Netherlands,0.2,3,2,2,0,0,0,55,4
Jackie,Messina,M,71,UK,16/05/1974,16,9,16,UK,0.2,5,3,9,2,0,1,55,4
Timur,Beguiristain,M,72,RussianFederation,15/05/1975,6,9,17,RussianFederation,0.2,4,0,11,4,0,7,55,4
Paulo,Makhoukh,M,73,Argentina,27/11/1977,2,10,11,Argentina,0.2,0,5,9,4,0,10,55,4
Oscar,Engström,M,,Sweeden,06/11/1998,12,7,18,Sweden,,0,2,2,1,0,0,55,4
Peter,Parmenter,M,,UnitedStates,01/12/1993,15,13,3,UnitedStates,,2,2,2,1,0,0,55,4
Caroline,Turner,F,,UK,07/10/1989,13,15,14,UK,,2,2,2,1,0,0,55,4
