First Name,Last Name,Gender,Team,Nationality,DOB,Engine,Gearbox,Brakes,Front Wing,Rear Wing,Suspension,Known Components,Wages,Contract Start,Contract End,Patience,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Potential,Improvement Rate,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Stars
Omar,Kocani,M,71,Venezuela,13/10/1972,2.8811,7.0575,19.1943,13.434,5.6513,13.0603,84;33;71;40,0.82,2015,2017,3,5,1,9,0,0,6,15,33,72,3,,,,,,,,,,2.5533
Joey,Duma,M,72,UK,08/11/1970,6.481,0.5,0.5,3.0534,13.8094,2.5076,80;65;71,0.31,2016,2017,2,3,5,0,0,0,2,20,61,74,4,,,,,,,,,,1.1188
Keelan,Clifford,M,73,UK,04/01/1979,11.3013,10.8946,9.1017,9.6061,11.2304,10.9737,89;45,0.35,2016,2017,2,4,4,6,0,0,0,23,84,60,8,,,,,,,,,,2.6295
Scarlett,Moore,F,,UK,04/11/1970,4.53,12.95,11.6,7.85,8.32,6.44,30;48;66,,,,2,2,7,4,1,0,0,14,65,52,2,0,0,0,0,0,0,0,0,0,2.15375
Over,Azaden,M,,Venezuela,12/01/1978,10.9925,6.2027,8.5729,9.0605,8.9377,11.1985,29;81,,,,5,1,0,7,0,0,3,13,44,26,1,,,,,,,,,,2.2902
Elditônio,Gionto,M,,Brazil,10/03/1975,8.3698,9.0263,14.523,9.7008,6.9274,6.1103,84;65;46;40,,,,5,2,1,4,0,0,0,47,49,58,4,,,,,,,,,,2.2774
Amel,Barrios,M,,Sweden,02/06/1967,9.923,11.7154,14.938,4.0115,11.8266,19.5,30;33;66,,,,5,2,1,8,0,0,11,19,59,51,2,,,,,,,,,,2.9964
Takenobu,Avdija,M,,Japan,15/05/1977,13.4572,6.1847,15.949,7.416,2.7077,15.056,84;81;37,,,,2,2,3,10,0,0,11,48,26,50,1,,,,,,,,,,2.5321
Bahram,Khorrami,M,,Azerbaijan,17/12/1963,11.647,8.8447,10.0627,11.552,11.7331,10.2338,86;81;47,,,,2,5,3,10,2,0,11,45,25,53,5,,,,,,,,,,2.6697
Thanawut,Lushkja,M,,Thailand,22/12/1978,12.4742,8.0297,13.5711,12.3837,14.5463,12.5498,80;48;36;44,,,,5,5,3,8,1,0,9,26,29,72,5,,,,,,,,,,3.0648
Jean-Bernard,Mahboub,M,,Belgium,19/02/1981,16.1066,12.5655,13.1716,11.4527,13.5613,12.1367,84;34;71,,,,4,0,1,1,0,0,4,5,21,57,5,,,,,,,,,,3.2914
Barbara,Boulaïnine,F,,Austria,21/06/1969,9.3912,9.3647,8.3401,10.8299,11.2632,13.6551,65;32;38,,,,3,0,2,2,0,0,7,47,51,61,4,,,,,,,,,,2.6185
Ravinder,Kouhyar,M,,India,09/05/1973,4.2708,14.3936,7.5714,19.5,11.6936,15.8906,80;34;46;42,,,,3,2,5,8,0,0,6,22,37,65,3,,,,,,,,,,3.055
Axel,Qaka,M,,Finland,26/08/1964,15.0433,0.5,19.5,7.1674,19.5,8.2759,80;81;46;41;44,,,,2,1,5,1,0,0,9,25,22,52,6,,,,,,,,,,2.9161
Takayoshi,Shah,M,,Japan,17/06/1973,8.8066,9.7277,6.0322,8.4353,10.5674,10.5606,29;89;82;42,,,,3,4,0,1,2,0,6,11,79,45,2,,,,,,,,,,2.2554
Vito,Amrouche,M,,UnitedStates,23/09/1967,12.3274,12.5641,11.7688,12.0738,12.5448,12.3546,29;48;45;42,,,,4,3,2,8,0,0,0,43,45,51,1,,,,,,,,,,3.0681
Björn,Daouadji,M,,Denmark,05/02/1967,7.0641,10.4357,11.0931,19.5,16.6611,19.5,30;47;38,,,,2,5,4,7,0,0,7,4,37,49,9,,,,,,,,,,3.5106
Moncho,Ceballos,M,,Spain,08/01/1982,19.5,14.7147,16.2538,17.833,5.4894,7.9657,80;89;46;45,,,,3,1,6,10,0,0,1,11,24,49,4,,,,,,,,,,3.4065
Mal,Fleischhacker,M,,UK,22/01/1989,16.6492,7.4333,16.9671,6.1149,10.8657,14.1545,84;35;32;45,,,,2,5,2,9,0,0,2,31,56,67,4,,,,,,,,,,3.0077
Leonid,Smaïli,M,,Ukraine,14/12/1992,4.8613,12.6483,4.4537,13.0235,19.5,2.8901,29;81;43,,,,3,0,1,7,0,0,9,12,80,51,2,,,,,,,,,,2.3907
Nicky,Quiñónez,M,,UK,16/04/1989,13.3369,11.5022,11.4614,12.7179,11.7862,12.5599,29;46;38;40,,,,5,2,2,1,0,0,7,30,29,64,1,,,,,,,,,,3.0569
Cormac,Koudri,M,,UK,25/08/1988,9.4584,10.913,6.6556,13.394,11.808,10.5755,80;48;66,,,,2,1,2,3,3,0,7,37,48,69,2,,,,,,,,,,2.6169
Hanqing,Hoxha,M,,China,10/10/1966,9.5663,12.1636,14.26,17.6952,8.9226,11.3881,89;40,,,,3,0,5,4,0,0,3,40,25,82,3,,,,,,,,,,3.0832
Djezon,Carnota,M,,France,30/05/1975,9.1015,0.5,6.0571,7.2018,1.9937,6.5963,86;48,,,,4,1,4,6,0,0,1,46,84,56,7,,,,,,,,,,1.3104
