First Name,Last Name,Gender,Team,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference,Reward ID
Wolfgang,Schmidt,M,7,One,,Germany,19/08/1987,21; 82; 161,1,0,71,9.93,2016,2016,0,,0,,0,0,17.1,17.95,16.3,16.15,15.6,15.7,15.6,14.1,15,0.76,56,27,79,0,0,1,9,4,0,238,0,6;9;7;6;8,100,55,72,25,3,54,7,57,0,4,4,0,0,10,0,2,0,3,0,2,54,1,35,1,33,1,2,0,100,3.986111111,SingleSeaterSeries; EnduranceSeries,
Maria,Gonzalez,F,7,Two,,Mexico,26/01/1990,20; 53; 106,1,0,68,9.05,2018,2015,0,,0,,0,0,15.23,14.3,18.1,15.4,11.8,16.8,14.95,15.5,15.1,0.63,19,11,79,0,4,0,12,3,0,189,0,7;4;6;8;3,100,40,89,19,3,3,23,1,3,3,8,0,0,1,0,1,0,6,2,5,78,5,32,2,30,2,1,0,100,3.810555556,SingleSeaterSeries,
Rick,de Graaf,M,8,Equal,,Netherlands,30/09/1997,66; 36; 169; 209; 291,1,0,72,10.79,2016,2016,0,,0.08,2,0,0,18.95,16.6,16.8,17.86,14.22,18.15,15.31,11.05,17.92,0.56,100,33,2,0,0,0,1,1,0,6,0,9;5,34,55,53,36,3,61,96,18,1,3,2,0,0,0,0,14,0,9,1,2,83,4,22,5,28,2,2,100,100,4.079444444,SingleSeaterSeries,
Lucía,Flores,F,8,Equal,,Spain,01/09/1994,68; 33; 169,1,0,63,8.81,2016,2015,0,,0.065,1,0,0,16.1,15.15,15.8,14.23,13.75,15.31,14.1,14.8,16.2,0.57,68,55,2,0,0,0,0,0,0,6,0,6;7,100,49,39,36,4,59,68,76,4,2,6,0,0,1,0,15,0,10,2,8,43,2,30,2,30,2,2,0,100,3.762222222,SingleSeaterSeries,
Samuel,Blanc,M,9,Equal,,France,30/01/1984,44; 56; 126,0,0,75,9.4,2016,2014,0.07,1,0.06,3,0,0,18.2,16.1,11.8,19.12,15.65,13.02,15.1,16.7,14,0.53,34,8,66,0,9,0,20,12,0,236,0,7;6;8;7;4,100,42,11,18,2,24,67,59,1,3,7,1,0,8,0,11,0,2,0,9,23,3,125,3,33,2,1,0,100,3.880277778,SingleSeaterSeries,
Alejandro,Moreno,M,9,Equal,,Venezuela,10/03/1985,60; 32; 165,1,0,74,6.33,2017,2016,0,,0,,0,30,15.1,17.12,9.9,14.35,7.8,10.21,12,14.8,16.3,0.7,66,13,79,1,1,1,20,16,0,49,0,3;5;7;5;6,100,32,18,20,2,14,75,2,4,2,8,0,0,5,0,5,0,7,0,2,85,4,57,1,31,2,3,0,100,3.266111111,SingleSeaterSeries; EnduranceSeries,
Siri,Lundqvist,F,10,Equal,,Sweden,02/09/1990,8; 80; 139; 214,0,0,66,7.52,2016,2016,0,,0.06,3,0,0,12.5,15.2,14.12,10.9,14.3,14.15,15.86,12,17.1,0.84,71,9,18,0,0,0,6,3,0,4,0,5;6;3;7;2,100,39,53,15,4,49,37,31,2,2,4,0,0,6,0,16,0,10,5,0,40,1,27,3,29,2,3,0,100,3.503611111,SingleSeaterSeries,
Esteban,Ribeiro,M,10,Equal,,Brazil,21/08/1992,82; 93; 155; 212,1,0,68,9.02,2016,2016,0,,0,,0,0,16.65,16.05,13.3,15.3,12.8,17.1,16.08,13.76,15.9,0.46,42,12,2,0,0,0,0,0,0,10,0,7;5,85,10,16,20,2,51,69,33,2,0,4,0,0,0,0,5,0,1,3,8,67,4,17,2,32,2,1,0,100,3.803888889,SingleSeaterSeries,
Jeremy,Woodford,M,11,Equal,,UK,28/06/1991,70; 165,1,0,76,6.24,2016,2015,0,,0,,0,3,12.7,14.25,10.9,8.8,14.6,13.3,15,14.9,12.5,0.41,31,28,2,0,0,0,0,0,2,0,0,n/a,100,14,75,22,2,23,21,83,0,4,8,0,0,1,0,3,0,5,8,4,75,5,22,1,30,2,4,0,100,3.248611111,SingleSeaterSeries,
Iker,Vidal,M,11,Equal,,Spain,22/03/1991,66; 200; 270,1,0,75,7.14,2016,2015,0,,0,,0,0,12.95,12.3,13.9,16.7,13.15,13.2,17.3,13.7,10.2,0.53,69,98,2,0,0,0,0,0,2,0,0,n/a,100,26,20,35,5,93,41,12,0,1,7,1,0,7,0,1,0,9,7,10,79,3,25,1,33,2,5,0,100,3.427777778,SingleSeaterSeries; EnduranceSeries,
Pascal,Becker,M,2,Reserve,,Germany,15/01/1998,80; 163,2,0,69,5.9,2016,2016,0,,0,,0,0,10.3,10.8,13.1,3.8,11.2,18.7,15.1,19.2,12.3,0.4,59,1,0,0,0,0,0,0,0,0,0,n/a,31,42,33,50,3,90,74,78,0,1,2,0,0,0,0,16,0,5,7,4,67,4,45,4,26,2,5,0,100,3.180555556,SingleSeaterSeries,
Camille,Piaget,F,3,Reserve,,Switzerland,27/04/1988,64; 284,2,0,59,6.45,2016,2016,0,,0,,0,1,8.9,13.3,10.1,8.85,17.55,15,15.86,19.1,9.79,0.64,30,58,19,0,0,0,5,3,0,4,0,n/a,100,30,96,20,5,90,67,10,5,2,8,0,0,0,0,6,0,6,9,2,65,1,65,1,31,2,1,0,100,3.290277778,SingleSeaterSeries; EnduranceSeries,
Sanjay,Modi,M,4,Reserve,,India,31/07/1993,10,2,0,65,5.79,2016,2015,0,,0,,0,0,10.56,9.1,15.15,10.8,14.05,10.3,11.8,16.8,15.1,0.73,51,29,0,0,0,0,0,0,0,0,0,n/a,100,15,83,30,2,68,96,33,2,6,7,0,0,1,0,16,0,10,1,5,8,1,33,2,29,2,5,0,100,3.157222222,SingleSeaterSeries,
Carla,Espinoza,F,5,Reserve,,Spain,02/12/1987,54,2,0,60,4.4,2016,2016,0,,0,,0,5,7.3,7.6,5.1,15.75,16.1,11.08,8.75,14.9,16,0.93,94,16,1,0,0,0,0,0,0,6,0,n/a,100,50,100,45,3,35,67,30,4,1,9,0,0,0,0,11,0,0,6,6,32,3,92,1,31,2,5,0,100,2.849444444,SingleSeaterSeries,
Jens,Bergman,M,6,Reserve,,Sweden,12/11/1990,3; 137; 164,1,0,71,6.96,2016,2014,0,,0,,0,0,15.1,9.6,15.65,9.3,12.88,16.2,14.1,17.95,11.3,0.42,73,10,2,0,0,0,2,1,0,0,0,n/a,100,65,68,27,2,0,18,48,3,1,7,0,0,6,0,0,0,8,10,7,10,5,96,4,29,2,5,0,100,3.391111111,Any,
Cristiano,De Oeste,M,7,Reserve,,Argentina,19/10/1995,271,2,0,74,3.98,2016,2016,0,,0,,0,0,13.4,14.2,9.25,13.1,6.8,6.75,12.6,15.9,6.8,0.51,46,4,0,0,0,0,0,0,0,0,0,n/a,54,12,11,38,4,67,80,98,2,0,4,1,0,0,0,9,0,4,1,1,25,5,22,2,30,2,1,0,100,2.744444444,SingleSeaterSeries,
Frida,Fischer,F,8,Reserve,,Austria,04/02/1989,92; 111,2,0,58,5.74,2016,2015,0,,0,,0,0,10.3,11.7,10.8,7.9,14.3,15.2,10.1,16.95,16.11,0.44,24,99,0,0,0,0,0,0,0,0,0,n/a,100,63,51,30,5,66,100,84,0,4,5,1,0,0,0,10,0,0,8,7,46,4,62,2,30,2,4,0,100,3.148888889,SingleSeaterSeries; EnduranceSeries,
Oli,Clarke Smith,M,9,Reserve,,UK,27/07/1990,43,2,0,64,7.28,2017,2016,0,,0,,0,0,17.3,16.25,7.85,11.25,17.5,10.2,18.1,17.7,8.3,0.67,36,40,4,0,0,0,1,1,0,0,0,n/a,100,29,34,30,5,64,46,64,0,3,2,0,0,4,0,16,0,9,1,4,43,4,40,1,30,2,1,0,100,3.456944444,SingleSeaterSeries,
Roberto,Persanni,M,10,Reserve,,Italy,28/05/1986,24,2,0,70,6.68,2016,2016,0,,0,,0,0,8.6,15.79,13.1,11.05,11.2,16.95,18.88,15.21,9.321,0.54,40,35,1,0,0,0,0,0,0,0,0,n/a,100,38,56,25,3,53,55,29,1,6,8,1,0,8,0,10,0,7,8,5,6,4,72,3,32,2,3,0,100,3.336138889,Any,
Zak,Hamilton,M,11,Reserve,,UK,11/08/1992,16; 287,2,0,74,6.57,2016,2016,0,,0,,0,0,8,10.89,15.38,9.102,15.86,14.6,17.3,17.8,10.4,0.4,72,70,0,0,0,0,0,0,0,0,0,n/a,86,61,26,30,3,68,70,33,1,4,0,4,0,9,0,6,0,0,7,0,48,1,26,2,31,2,5,0,100,3.314777778,SingleSeaterSeries,
Gustavo,Costa,M,12,Equal,,Portugal,16/08/1989,43; 51; 270;209,0,0,68,6.81,2016,2014,0,,0.06,3,0,0,13.2,14.1,15.7,12.3,13.05,17.65,6.1,14,14.9,0.52,13,95,,,,,,,,,,,100,55,39,12,4,75,10,15,2,2,8,0,0,8,0,5,0,0,0,3,49,2,65,3,30,3,5,0,100,3.361111111,SingleSeaterSeries,
Ricardo,Costa,M,12,Equal,,Portugal,12/08/1988,44; 52; 270;209,0,0,76,4.78,2016,2015,0,,0.05,3,0,0,14.8,7.4,15.8,10.05,9.1,7.25,11,15.8,14.8,0.43,58,84,,,,,,,,,,,100,40,81,60,5,42,86,11,2,4,8,1,0,4,0,1,0,0,6,7,42,4,40,3,30,3,5,0,100,2.944444444,SingleSeaterSeries,
Guillermo,Almeida,M,13,One,,Colombia,18/12/1983,81; 165,-1,0,70,3.36,2017,2016,0,,0.065,2,0,4,10.1,13.75,6.15,9.2,12,8.3,13.6,11,9.1,0.82,21,44,,,,,,,,,,,100,20,98,8,3,29,90,75,2,0,8,0,0,6,0,15,0,9,3,3,6,4,50,2,32,2,6,0,100,2.588888889,SingleSeaterSeries,
Jessica,Munroe,F,13,Two,,UnitedStates,21/03/1983,56,0,0,67,8.49,2016,2016,0,,0.08,3,0,0,13.4,16.9,18.7,12.1,10.2,12.15,17,17.8,14.9,0.41,53,49,,,,,,,,,,,100,55,39,15,5,61,98,69,2,2,2,0,0,0,0,15,0,3,9,6,47,3,80,1,34,1,1,0,100,3.698611111,SingleSeaterSeries; EnduranceSeries,
Freya,Larsen,F,14,Equal,,Denmark,01/06/1993,53,1,0,64,6.55,2016,2015,0,,0,,0,0,18.7,12.1,12.25,14,11.85,14.1,10.35,13,12.8,0.6,36,14,,,,,,,,,,,100,26,7,45,4,19,36,5,3,4,9,1,0,0,0,6,0,7,4,5,11,2,55,6,26,2,3,0,100,3.309722222,SingleSeaterSeries,
Johnny,Navarro,M,14,Equal,,Venezuela,11/11/1995,11,1,0,69,4.78,2017,2016,0,,0.04,1,0,0,12.1,7.3,10.95,10.8,15.85,12,14.85,10.1,12.05,0.8,100,12,,,,,,,,,,,53,30,82,38,3,85,19,83,2,3,3,0,0,0,0,8,0,3,5,0,37,2,40,4,28,1,1,0,100,2.944444444,Any,
Molly,Fox,F,15,One,,UnitedStates,25/11/1996,43;36,0,0,62,6.53,2016,2016,0,,0.055,3,0,0,19.65,16.15,8.2,17.4,12.3,5.2,14.1,11.9,14.1,0.84,41,71,,,,,,,,,,,43,45,41,44,3,10,82,46,3,6,6,1,0,0,0,4,0,9,1,3,13,1,50,1,33,3,5,0,100,3.305555556,SingleSeaterSeries,
Ellie,Nightingale,F,15,Two,,UK,05/04/1995,72,-1,0,60,3.67,2016,2016,0,,0.05,5,0,0,8,5.2,11.95,10.1,17.8,12.9,5.25,13.8,11,0.86,4,42,,,,,,,,,,,59,55,28,23,3,14,90,32,1,3,4,0,0,0,0,7,0,3,9,9,24,3,45,2,30,2,1,0,100,2.666666667,SingleSeaterSeries,
Mattias,De Wolf,M,16,One,,Belgium,26/01/1990,9,0,0,66,8.5,2016,2016,0,,0,,0,0,16.8,13,18.98,16.1,16.15,8.3,16,18.8,9.05,0.42,90,54,,,,,,,,,,,100,48,62,28,4,40,77,34,0,4,7,3,0,2,0,8,0,8,2,0,60,4,30,1,31,1,2,0,100,3.699444444,Any,
Go,Kanjiro,F,16,Two,,Japan,05/05/1991,27; 291,0,0,68,4.15,2016,2016,0,,0,,0,0,3.2,12.95,18,6.15,15.9,10.05,11.95,8.3,13.88,0.61,34,100,,,,,,,,,,,98,46,88,38,3,6,66,88,0,2,7,0,0,0,0,0,0,6,7,2,36,1,50,1,30,3,10,0,100,2.788333333,SingleSeaterSeries,
Kareem,Shah,M,17,One,,UK,30/06/1988,67; 288,-1,0,75,5,2017,2016,0,,0.05,5,0,0,5.9,6.1,15.7,14.3,17.6,11.5,15.9,13.2,7.8,0.74,26,20,,,,,,,,,,,100,55,76,28,2,29,61,87,3,3,9,0,0,11,0,16,0,2,7,6,45,2,70,3,31,2,5,0,100,3,SingleSeaterSeries,
Alex,Willis,M,17,Two,,UnitedStates,06/04/1982,35; 51,-1,0,74,5.18,2016,2016,0,,0,,0,0,15.8,14.9,7.5,9.6,11.1,12.2,12.1,18.1,8,0.56,11,21,,,,,,,,,,,100,25,30,0,4,4,49,45,0,2,3,0,0,1,0,10,0,0,9,4,46,3,50,1,34,2,6,0,100,3.036111111,Any,
Michelle,Cooper,F,18,Equal,,NewZealand,19/10/1984,55; 50; 171;,-1,0,65,4.56,2017,2014,0,,0,,0,0,6.05,6.2,16.95,4.9,14.9,15.85,14.9,15.75,8.5,0.92,25,11,,,,,,,,,,,100,53,1,0,3,44,75,54,0,5,7,0,0,0,0,8,0,9,7,3,19,2,50,3,31,1,1,0,100,2.888888889,Any,
Artem,Mikhailovic,M,18,Equal,,RussianFederation,03/07/1989,67; 50; 118;,-1,0,67,3.22,2018,2016,0,,0,,0,0,10.5,7.75,6.9,13.85,5.9,4.9,8.95,17.2,16.05,0.87,83,24,,,,,,,,,,,100,46,89,40,3,90,68,76,3,7,8,4,0,5,0,11,0,5,0,9,59,2,67,1,33,2,7,0,100,2.555555556,Any,
Niccolo',Strambi,M,19,Equal,,Italy,15/01/1991,69; 287,2,0,63,4.89,2017,2016,0,,0.04,5,0,0,10.2,5.9,8.85,17.75,16.05,11.95,14.9,8.9,12.5,0.9,3,48,,,,,,,,,,,100,33,16,35,3,64,41,49,5,4,8,1,0,10,0,3,0,5,8,2,0,3,50,3,30,2,1,0,100,2.972222222,SingleSeaterSeries,
Jonas,Braunlich,M,19,Equal,,Austria,09/03/1986,72,-1,0,69,3,2016,2016,0,,0,,0,0,14.05,10.2,7.95,7.9,13.9,7.85,5.9,7.75,14.5,0.42,76,100,,,,,,,,,,,100,54,13,29,5,96,86,82,1,5,3,0,0,0,0,13,0,5,8,1,23,3,80,1,32,1,5,0,100,2.5,SingleSeaterSeries,
Johan,Sylvander,M,20,Equal,,Sweden,25/05/1995,73; 80,1,0,64,7.24,2016,2015,0,,0,,0,0,12.9,14.7,13.2,9.2,17,14.85,11.05,13.15,18.1,0.4,26,32,,,,,,,,,,,100,41,12,25,2,33,100,70,2,2,5,1,0,0,0,11,0,9,2,2,62,1,20,3,28,2,6,0,100,3.448611111,SingleSeaterSeries,
Estela,Batista,F,20,Equal,,Brazil,07/04/1985,25,-1,0,63,4.08,2016,2016,0,,0.05,3,0,0,6.3,11.95,16.8,16.7,9,11.95,11.8,7.05,8.15,0.91,44,32,,,,,,,,,,,100,44,25,12,5,24,62,77,5,5,7,0,0,5,0,15,0,9,4,6,36,1,70,3,33,1,1,0,100,2.769444444,SingleSeaterSeries,
Laura,Ingledew,F,21,Equal,,UK,26/08/1993,22; 30; 80,0,0,58,4.25,2016,2015,0,,0,,0,0,11.7,14.2,11.85,8.3,7.9,12.2,16,8.05,11.05,0.45,33,3,,,,,,,,,,,100,52,7,46,2,55,71,5,1,2,3,2,0,0,0,2,0,8,3,3,62,1,30,2,29,2,6,0,100,2.8125,SingleSeaterSeries,
Austin,Zarate,M,21,Equal,,Indonesia,28/01/1991,59,2,0,63,2.74,2016,2016,0,,0,,0,0,8.95,2.7,7.95,9.05,11.3,5.8,14,16.8,11.15,0.9,66,50,,,,,,,,,,,100,38,27,22,3,17,7,98,2,1,7,0,0,0,0,4,0,5,2,3,15,3,75,4,28,2,1,0,100,2.436111111,Any,
Sergio,Arbeloa,M,22,Equal,,Spain,09/10/1991,29,1,0,65,2.97,2016,2015,0,,0,,0,0,15.9,7.2,6.05,7.9,12,6.05,14.7,11.85,8.05,0.69,77,3,,,,,,,,,,,100,35,56,20,5,17,25,67,5,5,6,0,0,0,0,4,0,6,3,6,22,5,40,1,30,1,5,0,100,2.491666667,SingleSeaterSeries,
Edda,Jónsdóttir,F,22,Equal,,Iceland,12/06/1995,29; 165,2,0,71,4.08,2016,2015,0,,0,,0,2,12.3,8.8,10,17.8,5.15,13.95,12.7,9.95,9.05,0.42,65,13,,,,,,,,,,,100,54,19,33,3,77,57,70,1,5,2,0,0,1,0,13,0,10,10,1,43,1,35,4,28,3,10,150,100,2.769444444,Any,
Jean-François,Beauchamp,M,23,One,,Canada,21/07/1975,3; 35; 86,-1,0,67,6.25,2017,2016,0,,0,,0,0,7.4,16.8,15.95,10.1,16.75,15.9,13,9.05,12.05,0.88,40,78,,,,,,,,,,,100,51,24,0,5,30,36,68,0,0,9,4,0,10,0,0,0,10,5,0,85,1,45,3,29,2,5,0,100,3.25,SingleSeaterSeries,
Tanvir,Jha,M,23,Two,,India,03/01/1977,7; 35; 209; 278; 86,0,0,75,8.14,2018,2016,0.065,5,0.07,3,0,0,12.3,15.1,8.15,15.95,16.5,16.9,15.8,15,14.9,0.73,64,10,,,,,,,,,,,100,45,44,0,5,76,54,42,4,0,6,0,0,0,0,6,0,5,3,5,92,2,50,3,32,1,4,0,100,3.627777778,SingleSeaterSeries,
Luigi,Marchetta,M,24,Equal,,Italy,22/04/1984,64; 165,-1,0,64,3,2016,2015,0,,0,,0,0.75,6.75,12.1,16.7,4.95,14.2,6.7,12.8,10.5,5.3,0.49,54,7,,,,,,,,,,,100,39,68,42,3,91,55,8,3,5,9,0,0,2,0,8,0,9,7,4,36,2,50,1,31,2,4,0,100,2.5,SingleSeaterSeries,
Claudia,Dreyfuss,F,24,Equal,,Germany,18/06/1998,8,2,0,68,3.44,2017,2016,0,,0,,0,0,7,17.9,9.6,9.8,9.1,16.6,6.4,11.5,6.1,0.72,85,2,,,,,,,,,,,27,37,20,23,3,11,48,39,1,3,4,3,0,0,0,15,0,9,2,3,21,1,16,1,35,2,1,0,100,2.611111111,Any,
Sergey,Antonov,M,25,One,,RussianFederation,03/11/1984,10; 66,-1,0,67,3.56,2018,2016,0,,0,,0,0,8.42,9.3,10.5,8.04,7.68,6.35,17.07,9.62,18.02,0.52,91,48,,,,,,,,,,,100,15,81,40,3,26,71,93,5,3,8,0,0,4,0,3,0,1,7,2,35,4,100,2,32,2,3,0,100,2.638888889,Any,
Merja,Väänänen,F,25,Two,,Finland,27/10/1986,59,2,0,70,1.89,2017,2015,0,,0,,0,0,13.31,9.63,3.84,13.48,5.67,6.1,10.35,6.97,10.65,0.66,60,27,,,,,,,,,,,100,20,24,44,4,86,2,52,1,0,8,0,0,5,0,10,0,5,8,5,7,1,70,3,32,2,1,0,100,2.222222222,SingleSeaterSeries,
André,Sabado,M,26,One,,Brazil,23/04/1985,3; 16,1,0,68,1.89,2016,2015,0,,0,,0,0,14.17,11.95,6.43,10.33,9.15,10.1,5.52,5.78,6.57,0.93,34,66,,,,,,,,,,,100,36,14,41,5,100,24,24,3,3,8,0,0,1,0,16,0,10,5,7,32,4,125,1,33,2,5,0,100,2.222222222,SingleSeaterSeries,
Jean-Pierre,Gérard,M,26,Two,,France,01/12/1991,26; 291,1,0,72,1.67,2016,2015,0,,0,,0,0,4.47,6.27,14.1,7.48,12.69,5.54,6.91,11.02,9.52,0.41,7,87,,,,,,,,,,,100,49,34,20,4,29,34,65,2,0,6,3,0,9,0,10,0,2,9,9,4,3,20,4,30,2,8,0,100,2.166666667,SingleSeaterSeries,
Amanda,Cavalcanti,F,27,Two,,Brazil,16/09/1995,170; 2; 16,0,0,65,4.78,2018,2016,0,,0.055,3,0,0,10.22,12.44,8.91,17.62,16.5,7.28,12.19,7.81,13.03,0.74,84,79,,,,,,,,,,,55,38,88,45,3,93,8,95,1,0,9,1,0,0,0,7,0,4,2,4,8,1,26,2,30,2,1,0,100,2.944444444,SingleSeaterSeries,
Eduardo,Melo,M,27,One,,Brazil,20/03/1993,172; 169; 45,-1,0,64,0.92,2018,2015,0,,0.04,1,0,0,9.21,8.27,5.75,9.85,3.24,4.59,9.33,5.7,10.06,0.9,6,41,,,,,,,,,,,100,43,87,42,4,100,95,60,4,2,4,0,0,0,0,7,0,1,0,9,44,1,61,4,28,3,10,100,100,1.833333333,Any,
Nick,Chu,M,28,Two,,Thailand,23/02/1998,82; 11; 155,2,0,75,2.44,2016,2016,0,,0,,0,0,6.39,5.06,7,12.15,5.95,13.93,14.81,7.67,12.04,0.7,37,14,,,,,,,,,,,30,51,79,23,3,61,17,56,0,2,9,0,0,0,0,16,0,6,5,6,7,5,35,3,33,2,2,0,100,2.361111111,SingleSeaterSeries,
Bao,Tāng,M,28,One,,China,16/09/1991,165; 40; 52,1,0,76,0.94,2018,2015,0,,0,,0,6,8.79,8.44,7.1,8.27,6.03,5.66,9.24,2.5,11.97,0.65,3,74,,,,,,,,,,,100,62,63,0,4,83,40,14,1,5,8,0,0,3,0,13,0,7,6,10,68,2,40,2,30,2,1,0,100,1.888888889,Any,
Ines,Santa Ana,F,29,Equal,,Argentina,29/05/1992,14; 208,2,0,70,1.67,2018,2016,0,,0,,0,0,10.37,5.2,7.6,10.5,10.73,6.58,9.24,8.24,9.54,0.51,36,8,,,,,,,,,,,88,51,57,33,4,80,14,93,2,5,7,0,0,0,0,12,0,6,1,3,2,1,50,3,29,2,1,0,100,2.166666667,SingleSeaterSeries,
